pair_prefix,wer_original,wer_treinado,f0_rmse_hz_vs_base,f0_rmse_hz_original_vs_ref,f0_rmse_hz_treinado_vs_ref,asr_original,asr_treinado,wav_treinado,wav_original,wav_referencia,failure_reason
sentenca_10,0.91,0.09,68.68,153.88,172.10,No Castle de Tabella.,No caso da tabela correção mensal está prevista na Constituição.,Temp/eval_trained_eq_43zfe_1b/sentenca_10_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_10_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_10_referencia.wav,
sentenca_11,0.44,0.44,81.11,168.94,169.87,O objeto relacional sem interior imaginário.,Objeta graçando no interior imaginário do corpo.,Temp/eval_trained_eq_43zfe_1b/sentenca_11_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_11_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_11_referencia.wav,
sentenca_13,0.56,0.00,87.10,200.80,195.97,"Tem lucro. Viu haia o dólares, por não.",tem lucro de um bilhão de dólares por ano.,Temp/eval_trained_eq_43zfe_1b/sentenca_13_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_13_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_13_referencia.wav,
sentenca_14,0.27,0.18,48.13,152.54,169.29,"Talvez por causa das mudancas. Nubusco, na minha carreira.",A vez por causa das mudanças que eu busco na minha carreira.,Temp/eval_trained_eq_43zfe_1b/sentenca_14_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_14_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_14_referencia.wav,
sentenca_15,0.80,0.60,75.66,101.23,90.27,"Leandro... Jerichreis, não governou, desincorcelou de Brasília.","Lente, truque, jeraclismo, governo e da sucursal de Brasília.",Temp/eval_trained_eq_43zfe_1b/sentenca_15_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_15_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_15_referencia.wav,
sentenca_19,0.64,0.64,76.91,125.82,133.02,Anteantim astronautas Realizam experientes científicos Abordo do Anibus Espacial Columbia,"Ante ontem, astronautas realizaram experiências científicas aborre do Unibus de Pacéu, Columbia.",Temp/eval_trained_eq_43zfe_1b/sentenca_19_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_19_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_19_referencia.wav,
sentenca_1,0.91,0.55,63.64,227.52,215.37,Não é um diabo.,No dia 22 foram 54 mil consultas.,Temp/eval_trained_eq_43zfe_1b/sentenca_1_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_1_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_1_referencia.wav,
sentenca_24,0.89,0.89,77.09,178.50,151.88,"Mácio, Mástro está, pertençado a estreia.",Mas se o santo mostrou está recuperada a atenção da estreia.,Temp/eval_trained_eq_43zfe_1b/sentenca_24_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_24_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_24_referencia.wav,
sentenca_27,0.78,0.11,59.96,127.07,138.77,"Nas estecos, especiais são... Fitas, experiências......e diversas typos...",Nas estações são feitas experiências de diversos tipos.,Temp/eval_trained_eq_43zfe_1b/sentenca_27_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_27_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_27_referencia.wav,
sentenca_2,0.73,0.09,101.05,164.11,172.32,Maracesta. Matei D'Siu Primeiro Mandado de Senador.,Maria está na segunda metade do seu primeiro mandato de senador.,Temp/eval_trained_eq_43zfe_1b/sentenca_2_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_2_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_2_referencia.wav,
sentenca_30,1.00,0.00,53.89,136.70,126.14,"O namoro de Feria é o tem. Aguma é diferente, porque o tipo de atroz é o relacionamento.",O namoro de Ferias tem algumas diferenças dos outros tipos de relacionamento.,Temp/eval_trained_eq_43zfe_1b/sentenca_30_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_30_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_30_referencia.wav,
sentenca_32,1.12,0.25,36.15,113.94,112.53,"As intervalas disteja o Nassau, Hohj, Mei, Valor, Rizados.",Os intervalos dos telefonais são hoje mais valisados.,Temp/eval_trained_eq_43zfe_1b/sentenca_32_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_32_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_32_referencia.wav,
sentenca_37,0.60,0.20,78.48,140.86,123.19,O balanco também terá conto referente de independentes.,O avanço também terá que contemplar referência do auditorio independente.,Temp/eval_trained_eq_43zfe_1b/sentenca_37_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_37_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_37_referencia.wav,
sentenca_3,0.80,0.80,59.68,189.49,180.06,Resposta Nunca Fellow.,"Falo de menos ou não, se isse em menos ainda deste.",Temp/eval_trained_eq_43zfe_1b/sentenca_3_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_3_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_3_referencia.wav,
sentenca_42,0.92,0.58,80.03,138.13,147.92,"Agora, o Iparáqueso. O Detetive Desis da história é o E.M. Pager.",Não é pela casa que o Detetive dessa gestora exumpada.,Temp/eval_trained_eq_43zfe_1b/sentenca_42_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_42_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_42_referencia.wav,
sentenca_43,1.00,0.70,63.34,130.59,133.97,"Oversea. Viqueus, Fossum, Escobato, Soldatus, Soldatus.",Messeira de Esforço e Descobrões pelos Soldados.,Temp/eval_trained_eq_43zfe_1b/sentenca_43_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_43_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_43_referencia.wav,
sentenca_44,0.67,0.89,314.47,102.01,290.88,"A Mesmo Tempo Concegrupintor's Apanus, fromerito tematico.",O mesmo tempo com essa grupo então os apenas por meio e temático.,Temp/eval_trained_eq_43zfe_1b/sentenca_44_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_44_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_44_referencia.wav,
sentenca_45,0.30,0.40,73.77,120.79,121.27,"Mario de Andrade, o Converdem Protolapo do Artista Nacional.","Nário de Andade, o converso em protótipo do Oxifpa Nacional.",Temp/eval_trained_eq_43zfe_1b/sentenca_45_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_45_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_45_referencia.wav,
sentenca_47,0.27,1.36,79.77,112.58,127.52,"Dois Irmas, Jogam na Silecao da Holanda adversaria do Brasil.",Dois irmãos de M jogam na seleção da Al Dois de Imangeme jogam me joga na seleção da Alon do adversário do Brasil,Temp/eval_trained_eq_43zfe_1b/sentenca_47_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_47_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_47_referencia.wav,
sentenca_48,0.70,0.00,70.91,107.22,116.85,"O Brasileste Pradendo Poco. Apoco, sua identidade.",O Brasil está perdendo pouco a pouco a sua identidade.,Temp/eval_trained_eq_43zfe_1b/sentenca_48_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_48_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_48_referencia.wav,
sentenca_51,0.90,0.10,92.74,123.36,131.45,Muto 4 Retirado,Muito foi retirado embaixo e outro tanto apreciado em cima.,Temp/eval_trained_eq_43zfe_1b/sentenca_51_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_51_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_51_referencia.wav,
sentenca_52,0.60,0.90,63.77,132.86,158.18,Atividade agrícola alias EDM fila de baisal,E aí,Temp/eval_trained_eq_43zfe_1b/sentenca_52_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_52_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_52_referencia.wav,
sentenca_53,1.27,0.73,82.76,144.69,147.11,"Não se esqueça de ser o pará. O Dintista Edmar representa um humor mais, mais humor.",nos seus deslocamentos para a Rirão Ventista e Tamar apesentado no UU.,Temp/eval_trained_eq_43zfe_1b/sentenca_53_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_53_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_53_referencia.wav,
sentenca_54,0.58,0.25,82.23,136.59,151.74,Comprar em Jogo de Canetas. Vê visita loa em Shulkasa.,Comprei um jogo de panetas e fui visitá-lo em sua casa.,Temp/eval_trained_eq_43zfe_1b/sentenca_54_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_54_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_54_referencia.wav,
sentenca_55,0.78,0.78,93.20,140.76,160.26,Mutipo... You know Advogato Francisco Rangel Pastona.,"Meu tipo não esqueci, véi.",Temp/eval_trained_eq_43zfe_1b/sentenca_55_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_55_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_55_referencia.wav,
sentenca_56,0.50,0.33,59.50,77.95,88.14,Perto o líder por esses considera-cos inspiradas. No clima de avocasio netolino.,"Perdão, leitou por essas considerações inspiradas no clima de evocação natalina.",Temp/eval_trained_eq_43zfe_1b/sentenca_56_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_56_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_56_referencia.wav,
sentenca_57,0.70,0.30,80.68,90.30,94.52,"Jogo de Holanda, Imeis Viettel, Co-du, Brasil.",jogo da aula em mais variado que do Brasil.,Temp/eval_trained_eq_43zfe_1b/sentenca_57_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_57_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_57_referencia.wav,
sentenca_58,0.64,0.36,81.13,125.84,137.90,"Nascimento final de luta, a Holanda de Oitenta, a Sessenta Itris.",Nas finalizações a Holanda ganha de 80 a 63.,Temp/eval_trained_eq_43zfe_1b/sentenca_58_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_58_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_58_referencia.wav,
sentenca_59,0.70,0.10,79.70,110.96,130.71,"O brazil soleva vantagem. Nappenetraco, Ina Pontaria.",O Brasil só leva vantagem na penetração e na contagem.,Temp/eval_trained_eq_43zfe_1b/sentenca_59_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_59_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_59_referencia.wav,
sentenca_60,0.45,0.45,78.62,129.21,147.09,"Empregado do Parlamento Europeu. Elatina Legajoz, como bancada socialista.",Empregado do Parlamento e Operatinha Ligações com o bancado socialista.,Temp/eval_trained_eq_43zfe_1b/sentenca_60_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_60_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_60_referencia.wav,
sentenca_61,0.45,0.27,26.33,111.69,110.89,As danos são validas em cerca de 200 mil hues de dólares.,Os dados são variados em cerca de 2 milhões de dólares.,Temp/eval_trained_eq_43zfe_1b/sentenca_61_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_61_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_61_referencia.wav,
sentenca_62,0.70,0.70,54.66,86.53,93.03,"Devê, Mestre Vendo, as Americas, Saab, Yuma, Alaka, Totalmente, de Trapada.",E ele está vendo as Américas só em umítica totalmente depurvada.,Temp/eval_trained_eq_43zfe_1b/sentenca_62_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_62_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_62_referencia.wav,
sentenca_67,1.10,0.10,53.24,97.98,112.31,"O vocabulario, a sexualidade, o orificio, e o progressivomente, o hedonso e o senoso.",O vocabulário da sexualidade foi reaparecendo progressivamente há 10 anos.,Temp/eval_trained_eq_43zfe_1b/sentenca_67_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_67_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_67_referencia.wav,
sentenca_72,0.67,0.11,39.86,70.24,67.82,"Nem sem para hospitalidade, meana faz, vissifama.",Nem sempre a hospitalidade baiana faz juz a fama.,Temp/eval_trained_eq_43zfe_1b/sentenca_72_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_72_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_72_referencia.wav,
sentenca_73,0.60,0.10,47.58,122.02,130.74,"Não há hotel, eles foram informados. Agora eu tenho o apartamento disponível.","No hotel, eles foram formados que não havia apartamento disponível.",Temp/eval_trained_eq_43zfe_1b/sentenca_73_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_73_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_73_referencia.wav,
sentenca_74,0.78,0.56,83.88,137.37,119.88,Elias Deblis. Iocomo Referência Paras Calculo.,Abre esta BVC mágocom referência para este cálculo.,Temp/eval_trained_eq_43zfe_1b/sentenca_74_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_74_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_74_referencia.wav,
sentenca_78,0.70,0.40,54.13,107.93,113.63,"Nesco Brancas de Lateroso, a Parísha. O Pdu Jogador.",Nas comprasse de lateral se aparecia o pico jogador.,Temp/eval_trained_eq_43zfe_1b/sentenca_78_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_78_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_78_referencia.wav,
sentenca_79,0.45,0.45,59.71,106.70,121.96,No jogo contra Honduras e Unique. Heraldurada pela Globo.,No jogo conta runduras da única imagem regerada pela Globo.,Temp/eval_trained_eq_43zfe_1b/sentenca_79_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_79_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_79_referencia.wav,
sentenca_7,0.91,0.00,78.64,162.15,169.88,Fultimus porc... Emo publico indenio CSK2,Voltamos porque essa relação com o público ainda não se esgotou.,Temp/eval_trained_eq_43zfe_1b/sentenca_7_treinado.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_7_original.wav,Temp/eval_trained_eq_43zfe_1b/sentenca_7_referencia.wav,
